time,gibbs,gibbs,,
90,0.154453566,0.453398354,-1.2237E-05,-1.4213E-05
91,0.154453565,0.453398228,-1.2238E-05,-1.4339E-05
92,0.154453564,0.4533981,-1.2239E-05,-1.4467E-05
93,0.154453562,0.453397968,-1.2241E-05,-1.4599E-05
94,0.154453561,0.453397834,-1.2242E-05,-1.4733E-05
95,0.15445356,0.453397696,-1.2243E-05,-1.4871E-05
96,0.154453559,0.453397555,-1.2244E-05,-1.5012E-05
97,0.154453558,0.453397411,-1.2245E-05,-1.5156E-05
98,0.154453557,0.453397263,-1.2246E-05,-1.5304E-05
99,0.154453556,0.453397112,-1.2247E-05,-1.5455E-05
100,0.154453555,0.453396957,-1.2248E-05,-1.561E-05
101,0.154453554,0.453396799,-1.2249E-05,-1.5768E-05
102,0.154453553,0.453396637,-1.225E-05,-1.593E-05
103,0.154453552,0.453396471,-1.2251E-05,-1.6096E-05
104,0.154453551,0.453396302,-1.2252E-05,-1.6265E-05
105,0.15445355,0.453396128,-1.2253E-05,-1.6439E-05
106,0.154453549,0.45339595,-1.2254E-05,-1.6617E-05
107,0.154453548,0.453395768,-1.2255E-05,-1.6799E-05
108,0.154453547,0.453395582,-1.2256E-05,-1.6985E-05
109,0.154453546,0.453395392,-1.2257E-05,-1.7175E-05
110,0.154453546,0.453395196,-1.2257E-05,-1.7371E-05
111,0.154453545,0.453394997,-1.2258E-05,-1.757E-05
112,0.154453544,0.453394792,-1.2259E-05,-1.7775E-05
113,0.154453543,0.453394583,-1.226E-05,-1.7984E-05
114,0.154453542,0.453394369,-1.2261E-05,-1.8198E-05
115,0.154453541,0.45339415,-1.2262E-05,-1.8417E-05
116,0.154453541,0.453393925,-1.2262E-05,-1.8642E-05
117,0.15445354,0.453393696,-1.2263E-05,-1.8871E-05
118,0.154453539,0.453393461,-1.2264E-05,-1.9106E-05
119,0.154453538,0.45339322,-1.2265E-05,-1.9347E-05
120,0.154453538,0.453392973,-1.2265E-05,-1.9594E-05
121,0.154453537,0.453392721,-1.2266E-05,-1.9846E-05
122,0.154453536,0.453392463,-1.2267E-05,-2.0104E-05
123,0.154453535,0.453392198,-1.2268E-05,-2.0369E-05
124,0.154453535,0.453391928,-1.2268E-05,-2.0639E-05
125,0.154453534,0.453391651,-1.2269E-05,-2.0916E-05
126,0.154453533,0.453391367,-1.227E-05,-2.12E-05
127,0.154453533,0.453391077,-1.227E-05,-2.149E-05
128,0.154453532,0.453390779,-1.2271E-05,-2.1788E-05
129,0.154453531,0.453390475,-1.2272E-05,-2.2092E-05
130,0.154453531,0.453390163,-1.2272E-05,-2.2404E-05
131,0.15445353,0.453389844,-1.2273E-05,-2.2723E-05
132,0.154453529,0.453389517,-1.2274E-05,-2.305E-05
133,0.154453529,0.453389183,-1.2274E-05,-2.3384E-05
134,0.154453528,0.45338884,-1.2275E-05,-2.3727E-05
135,0.154453527,0.453388489,-1.2276E-05,-2.4078E-05
136,0.154453527,0.45338813,-1.2276E-05,-2.4437E-05
137,0.154453526,0.453387763,-1.2277E-05,-2.4804E-05
138,0.154453525,0.453387386,-1.2278E-05,-2.5181E-05
139,0.154453525,0.453387001,-1.2278E-05,-2.5566E-05
140,0.154453524,0.453386606,-1.2279E-05,-2.5961E-05
141,0.154453524,0.453386202,-1.2279E-05,-2.6365E-05
142,0.154453523,0.453385788,-1.228E-05,-2.6779E-05
143,0.154453522,0.453385365,-1.2281E-05,-2.7202E-05
144,0.154453522,0.453384931,-1.2281E-05,-2.7636E-05
145,0.154453521,0.453384487,-1.2282E-05,-2.808E-05
146,0.154453521,0.453384032,-1.2282E-05,-2.8535E-05
147,0.15445352,0.453383566,-1.2283E-05,-2.9001E-05
148,0.15445352,0.453383089,-1.2283E-05,-2.9478E-05
149,0.154453519,0.453382601,-1.2284E-05,-2.9966E-05
150,0.154453518,0.453382101,-1.2285E-05,-3.0466E-05
151,0.154453518,0.453381588,-1.2285E-05,-3.0979E-05
152,0.154453517,0.453381064,-1.2286E-05,-3.1503E-05
153,0.154453517,0.453380527,-1.2286E-05,-3.204E-05
154,0.154453516,0.453379977,-1.2287E-05,-3.259E-05
155,0.154453516,0.453379414,-1.2287E-05,-3.3153E-05
156,0.154453515,0.453378837,-1.2288E-05,-3.373E-05
157,0.154453515,0.453378246,-1.2288E-05,-3.4321E-05
158,0.154453514,0.453377642,-1.2289E-05,-3.4925E-05
159,0.154453514,0.453377022,-1.2289E-05,-3.5545E-05
160,0.154453513,0.453376388,-1.229E-05,-3.6179E-05
161,0.154453513,0.453375738,-1.229E-05,-3.6829E-05
162,0.154453512,0.453375073,-1.2291E-05,-3.7494E-05
163,0.154453512,0.453374392,-1.2291E-05,-3.8175E-05
